data,ticker,preco_fechamento,capturado_em_utc
2026-07-27,ALOS3,26.79,2026-07-27T22:34:42.602343+00:00
2026-07-27,COIN11,38.86,2026-07-27T22:34:42.602343+00:00
2026-07-27,NASD11,19.94,2026-07-27T22:34:42.602343+00:00
2026-07-27,SPYI11,105.55,2026-07-27T22:34:42.602343+00:00
2026-07-27,LFTB11,124.15,2026-07-27T22:34:42.602343+00:00
2026-07-27,LFTS11,156.96,2026-07-27T22:34:42.602343+00:00
2026-07-27,BDIF11,70.01,2026-07-27T22:34:42.602343+00:00
2026-07-27,BDIV11,36.49,2026-07-27T22:34:42.602343+00:00
2026-07-27,BODB11,7.64,2026-07-27T22:34:42.602343+00:00
2026-07-27,BRZP11,180.38,2026-07-27T22:34:42.602343+00:00
2026-07-27,CPTI11,85.46,2026-07-27T22:34:42.602343+00:00
2026-07-27,ENDD11,108.8,2026-07-27T22:34:42.602343+00:00
2026-07-27,FATN11,79.49,2026-07-27T22:34:42.602343+00:00
2026-07-27,FATN12,0.03,2026-07-27T22:34:42.602343+00:00
2026-07-27,GARE11,8.16,2026-07-27T22:34:42.602343+00:00
2026-07-27,HGCR11,93.49,2026-07-27T22:34:42.602343+00:00
2026-07-27,IFRA11,92.42,2026-07-27T22:34:42.602343+00:00
2026-07-27,IFRI11,102.14,2026-07-27T22:34:42.602343+00:00
2026-07-27,JURO11,97.4,2026-07-27T22:34:42.602343+00:00
2026-07-27,KNIP11,90.3,2026-07-27T22:34:42.602343+00:00
2026-07-27,MANA11,9.16,2026-07-27T22:34:42.602343+00:00
2026-07-27,OGIN11,7.9,2026-07-27T22:34:42.602343+00:00
2026-07-27,PFIN11,62.88,2026-07-27T22:34:42.602343+00:00
2026-07-27,PPEI11,84.38,2026-07-27T22:34:42.602343+00:00
2026-07-27,RBIR11,73.06,2026-07-27T22:34:42.602343+00:00
2026-07-27,SNEL11,8.36,2026-07-27T22:34:42.602343+00:00
2026-07-27,TEPP11,7.86,2026-07-27T22:34:42.602343+00:00
2026-07-27,TRXF11,91.38,2026-07-27T22:34:42.602343+00:00
2026-07-27,VIGT11,49.38,2026-07-27T22:34:42.602343+00:00
2026-07-27,XPID11,49.98,2026-07-27T22:34:42.602343+00:00
2026-07-27,XPIE11,44.92,2026-07-27T22:34:42.602343+00:00
2026-07-27,XPML11,104.46,2026-07-27T22:34:42.602343+00:00
2026-07-27,AMZO34,59.06,2026-07-27T22:34:42.602343+00:00
2026-07-27,AUAU3,3.22,2026-07-27T22:34:42.602343+00:00
2026-07-27,LWSA3,3.68,2026-07-27T22:34:42.602343+00:00
2026-07-27,MGLU3,4.83,2026-07-27T22:34:42.602343+00:00
2026-07-27,TASA4,4.82,2026-07-27T22:34:42.602343+00:00
2026-07-28,ALOS3,27.14,2026-07-28T22:34:38.346424+00:00
2026-07-28,COIN11,38.3,2026-07-28T22:34:38.346424+00:00
2026-07-28,NASD11,19.8,2026-07-28T22:34:38.346424+00:00
2026-07-28,SPYI11,105.96,2026-07-28T22:34:38.346424+00:00
2026-07-28,LFTB11,124.19,2026-07-28T22:34:38.346424+00:00
2026-07-28,LFTS11,157.05,2026-07-28T22:34:38.346424+00:00
2026-07-28,BDIF11,70.75,2026-07-28T22:34:38.346424+00:00
2026-07-28,BDIV11,36.3,2026-07-28T22:34:38.346424+00:00
2026-07-28,BODB11,7.64,2026-07-28T22:34:38.346424+00:00
2026-07-28,BRZP11,180.5,2026-07-28T22:34:38.346424+00:00
2026-07-28,CPTI11,85.22,2026-07-28T22:34:38.346424+00:00
2026-07-28,ENDD11,108.55,2026-07-28T22:34:38.346424+00:00
2026-07-28,FATN11,79.74,2026-07-28T22:34:38.346424+00:00
2026-07-28,FATN12,0.03,2026-07-28T22:34:38.346424+00:00
2026-07-28,GARE11,8.17,2026-07-28T22:34:38.346424+00:00
2026-07-28,HGCR11,93.7,2026-07-28T22:34:38.346424+00:00
2026-07-28,IFRA11,91.64,2026-07-28T22:34:38.346424+00:00
2026-07-28,IFRI11,102.69,2026-07-28T22:34:38.346424+00:00
2026-07-28,JURO11,97.85,2026-07-28T22:34:38.346424+00:00
2026-07-28,KNIP11,90.6,2026-07-28T22:34:38.346424+00:00
2026-07-28,MANA11,9.13,2026-07-28T22:34:38.346424+00:00
2026-07-28,OGIN11,7.75,2026-07-28T22:34:38.346424+00:00
2026-07-28,PFIN11,62.33,2026-07-28T22:34:38.346424+00:00
2026-07-28,PPEI11,85,2026-07-28T22:34:38.346424+00:00
2026-07-28,RBIR11,73,2026-07-28T22:34:38.346424+00:00
2026-07-28,SNEL11,8.36,2026-07-28T22:34:38.346424+00:00
2026-07-28,TEPP11,7.87,2026-07-28T22:34:38.346424+00:00
2026-07-28,TRXF11,91.54,2026-07-28T22:34:38.346424+00:00
2026-07-28,VIGT11,49.85,2026-07-28T22:34:38.346424+00:00
2026-07-28,XPID11,49.85,2026-07-28T22:34:38.346424+00:00
2026-07-28,XPIE11,43.95,2026-07-28T22:34:38.346424+00:00
2026-07-28,XPML11,104.4,2026-07-28T22:34:38.346424+00:00
2026-07-28,AMZO34,59,2026-07-28T22:34:38.346424+00:00
2026-07-28,AUAU3,3.29,2026-07-28T22:34:38.346424+00:00
2026-07-28,LWSA3,3.74,2026-07-28T22:34:38.346424+00:00
2026-07-28,MGLU3,4.83,2026-07-28T22:34:38.346424+00:00
2026-07-28,TASA4,4.82,2026-07-28T22:34:38.346424+00:00
